"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","336","Trying to get deleted user data","chromium","2026-06-28","passed","2026-06-28","","api/users.api.spec.ts","",""
"","3607","login to app using wrong credentials with Data driven test","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2338","@smoke POST - create a user","chromium","2026-06-28","passed","2026-06-28","","api/users.api.indi.spec.ts","",""
"","3099","verify search results count - macbook - MacBook Air","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","336","@smoke GET API -- get all users","chromium","2026-06-28","passed","2026-06-28","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2119","footers exist on product page","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","337","Create user data","chromium","2026-06-28","passed","2026-06-28","","api/users.api.spec.ts","",""
"","2615","invalid login test with - mkphd@test.com -","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2711","footers exist on product page","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2746","invalid login test with JSON Data - test@open.com - wrong@123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","353","GET -- get all users","chromium","2026-06-28","passed","2026-06-28","","api/users.api.schema.spec.ts","",""
"","2720","@smoke User able to Login","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","346","DELETE API -- Delete a user","chromium","2026-06-28","passed","2026-06-28","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","696","GET -- get a user","chromium","2026-06-28","passed","2026-06-28","","api/users.api.schema.spec.ts","",""
"","2902","comp logo exists on product page","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","4337","verify user is able to land on the product page - imac - iMac","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","352","PUT API -- Update a user","chromium","2026-06-28","passed","2026-06-28","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","3966","verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2806","intercept and log requests","chromium","2026-06-28","passed","2026-06-28","","api/intercept.spec.ts","",""
"","2629","invalid login test with JSON Data - test12@open.com -","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2934","@smoke Home Page Headers Test","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
"","2212","comp logo exists on product page","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","4599","verify product Information/Data","chromium","2026-06-28","passed","2026-06-28","","productpage.spec.ts","",""
"","3300","verify search results count - macbook - MacBook Pro","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","218","mock search data api","chromium","2026-06-28","passed","2026-06-28","","api/intercept.spec.ts","",""
"","2591","invalid login test with JSON Data - pwtestbatch@open.com - wrong@123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","995","GET -- get location data","chromium","2026-06-28","passed","2026-06-28","","api/amadeus.oauth2.spec.ts","",""
"","2891","@smoke footers exist on product page","chromium","2026-06-28","passed","2026-06-28","","productpage.spec.ts","",""
"","2621","invalid login test with - invalid1@open.com - wrong123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","4273","verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","2854","Home Page Title Test","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
"","286","mock search page with fake HTML","chromium","2026-06-28","passed","2026-06-28","","api/intercept.spec.ts","",""
"","2506","invalid login test with Excel Data- - pw123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2857","@smoke comp logo exists on product page","chromium","2026-06-28","passed","2026-06-28","","productpage.spec.ts","",""
"","1007","DELETE - delete a user","chromium","2026-06-28","passed","2026-06-28","","api/users.api.indi.spec.ts","",""
"","322","Update user data","chromium","2026-06-28","passed","2026-06-28","","api/users.api.spec.ts","",""
"","2905","Logout link exists or not","chromium","2026-06-28","passed","2026-06-28","","homepage.spec.ts","",""
"","4432","@smoke verify product images count","chromium","2026-06-28","passed","2026-06-28","","productinfopage.spec.ts","",""
"","340","get user data","chromium","2026-06-28","passed","2026-06-28","","api/users.api.spec.ts","",""
"","2592","invalid login test with Excel Data- abccd@gmail.com - pwd@123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2533","invalid login test with - - pw123","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","2156","@smoke login page title test","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","343","POST API -- create a user","chromium","2026-06-28","passed","2026-06-28","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2717","invalid login test with Excel Data- pwbatchtest1@open.com -","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","4477","verify product Information/Data","chromium","2026-06-28","passed","2026-06-28","","productinfopage.spec.ts","",""
"","2142","forgot password link exists test","chromium","2026-06-28","passed","2026-06-28","","loginpage.spec.ts","",""
"","3266","verify search results count - imac - iMac","chromium","2026-06-28","passed","2026-06-28","","search.spec.ts","",""
"","4167","verify product images count","chromium","2026-06-28","passed","2026-06-28","","productpage.spec.ts","",""
"","317","Delete user data","chromium","2026-06-28","passed","2026-06-28","","api/users.api.spec.ts","",""
"","2492","PUT - update a user","chromium","2026-06-28","passed","2026-06-28","","api/users.api.indi.spec.ts","",""
